Year,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MIA,2000,1845.57,1840.8,1871.94,1791.86,2005.07,2199.44,2422.97,2455.12,2304.37,2214.98,2033.28,2126.79,2118.78,2064.56,2008.77,2093.91,2191.01,2143.34,2268.52,2202.85,2086.59,2059.93,1916.88,1946.94,2126.96,1996.31,2078.49,2023.27,2059.33,2021.18,2003.49,1985.2,2096.0,2068.61,2134.61,2108.57,2068.77,2127.08,1938.71,2083.69,1965.74,1734.46,1989.92,1988.14,1942.04,1946.13,1935.27,1974.65,1954.54,1878.18,2049.86,1941.2,1904.11,1872.73
TEN,2000,1812.48,2024.67,2010.74,1953.44,1811.12,1821.01,1666.59,1603.08,1875.34,2136.93,1986.86,2091.33,2206.69,2261.71,2178.51,2020.76,1846.67,1738.14,1722.33,1775.76,1804.96,2034.34,2091.71,1989.78,2032.32,2080.8,2075.83,2144.83,1797.82,1898.84,1914.68,1995.33,2040.58,2246.26,2195.76,2047.88,2169.54,2212.89,1926.99,1807.23,2012.77,2080.23,2149.03,2128.48,1950.82,2016.2,1949.87,1926.32,1658.18,1641.58,1907.33,2018.91,2035.89,2178.48
LAC,2000,1989.73,1993.77,2061.71,2084.08,2063.45,1974.5,1906.0,1774.33,1852.22,1773.93,1875.0,1987.37,2086.11,2151.77,2162.88,2159.65,2196.13,2043.86,2002.57,2006.06,1896.69,1933.78,1923.36,1945.62,1875.5,1849.03,2086.31,2045.15,2170.37,2069.35,2050.32,1837.5,1801.85,1962.66,1732.91,1717.97,1884.69,1830.2,2045.53,2086.63,2228.32,2300.66,2135.0,2200.41,2080.03,2053.67,1966.14,2087.97,2090.6,1881.75,1816.0,2016.81,2166.8,1924.81
GB,2000,2291.23,2316.91,2140.1,2083.91,2013.78,1951.15,2107.01,1977.71,1924.03,1879.23,1859.2,1812.61,1926.4,1829.12,1807.13,1919.48,1986.78,1957.84,2019.93,2014.13,1859.73,1885.91,1819.08,1995.34,1895.47,1824.35,2003.62,2090.75,2105.54,2211.64,2366.84,2354.59,2201.0,2071.62,2135.5,2195.48,2139.39,2137.22,2062.7,1906.96,1978.26,2116.67,1930.42,2047.37,2304.79,2298.21,2201.16,2057.94,2196.51,2156.82,2171.75,1997.34,1918.41,2166.93
ATL,2000,1875.88,1737.21,1701.72,1908.44,1854.2,2003.29,1971.91,2040.19,1857.82,1844.03,1793.93,1848.95,1983.91,1865.52,2056.69,1946.57,1919.91,1944.64,1784.69,1838.51,1900.06,1743.62,1794.12,1734.44,1799.25,2079.85,1961.44,1903.94,1942.61,2008.4,1823.81,1927.69,2265.04,1976.11,1829.95,1875.15,2052.72,1963.75,2073.47,1996.27,1920.78,1825.52,2009.25,2060.92,2141.25,2091.79,2151.88,1917.08,1912.38,1909.49,2177.96,2177.32,2039.51,2045.43
PIT,2000,1978.17,1901.06,1776.45,1653.81,1746.21,1835.68,2114.22,2125.68,2306.7,2409.66,2340.18,2240.74,2413.86,2397.42,2194.46,2058.88,2059.94,2035.91,2092.19,1974.21,1914.45,1990.43,1922.59,2063.07,2064.72,2006.36,2007.28,1999.71,2128.51,2185.33,2095.79,2155.27,1986.68,1885.14,2000.62,2171.1,2148.65,1960.54,2253.2,2399.6,2183.96,2051.81,2314.78,2134.98,2232.33,2159.57,2031.15,2052.31,2067.58,2167.67,2237.77,2182.92,2113.65,2012.4
WSH,2000,2009.64,1975.77,1886.21,1995.18,1960.55,2042.66,2218.64,2168.48,2178.04,2086.42,2133.22,2148.3,1969.65,2071.98,1989.34,2028.7,2272.03,2325.2,2163.11,2160.5,2268.72,2345.1,2080.42,2122.35,2166.66,2351.11,2202.17,1929.67,1789.68,1890.27,1998.46,1993.28,1964.36,2047.58,1978.54,1998.89,1959.01,1882.43,1892.51,2074.72,1877.94,1994.96,1978.79,1845.24,1867.81,1817.1,2010.09,1784.24,1762.77,1954.99,1983.15,1947.26,1926.59,1782.73
BUF,2000,2080.63,1896.25,1739.69,1774.05,1725.06,1627.4,1781.34,1999.13,2045.35,2063.44,1800.83,1780.41,1808.03,1902.84,2057.23,2129.92,2027.62,1987.28,1796.37,1682.43,1693.75,1890.99,2082.29,2012.28,2221.57,2234.13,2240.91,2261.41,2015.66,2054.15,2011.79,1906.14,2013.29,2113.61,2073.41,1866.3,1984.97,1928.59,2068.42,1936.79,1974.77,1975.32,1893.18,1919.75,1874.73,1851.05,1847.29,1895.2,2014.56,1999.97,1950.83,2004.45,1909.69,1989.23
SF,2000,1991.83,1992.98,2039.14,1967.09,2158.01,2144.1,2088.0,1948.36,1949.5,1834.88,1932.61,1872.61,1709.1,1655.98,1754.41,2237.99,2040.85,2090.52,2334.83,2171.76,2154.42,2200.02,2274.38,2383.19,2317.52,2233.35,2284.33,2167.31,2349.29,2189.28,2214.87,2224.54,2198.77,1859.8,1877.63,2079.12,2085.51,1998.44,1753.0,1740.56,1864.3,1831.19,1917.99,1956.24,1896.07,2135.17,2238.21,2289.62,2109.67,1955.74,1768.62,1907.78,1825.62,2175.7
ARI,2000,2000.52,1944.77,2104.21,1895.15,1985.05,1880.62,1874.21,1859.31,1991.81,2119.91,2179.19,2038.47,1974.17,1908.68,1838.07,1908.6,1954.73,2093.64,2094.4,1875.68,1840.7,1923.29,1926.61,1813.97,1822.36,1767.59,1777.67,1949.17,2004.87,1847.11,1915.95,1836.44,1994.08,1924.18,1741.68,1859.57,1803.82,1776.87,1837.86,1819.05,1845.75,1922.07,2118.53,2077.02,1833.05,1954.57,1829.11,2045.22,2085.06,2232.94,2086.55,2009.48,1804.13,1862.51
DET,2000,1899.77,1923.45,1859.95,2091.31,2169.14,2078.49,2094.19,2043.92,2033.1,1980.35,1904.23,1872.54,1942.26,1705.77,1841.66,1928.27,1891.98,1959.83,1847.6,1887.59,1776.18,1770.31,1737.6,1916.24,1919.48,2157.5,1959.71,1974.12,2023.45,2089.71,1909.27,1995.55,1922.6,1932.85,2027.41,1819.96,1730.67,1799.36,1817.81,1796.33,1736.26,1845.46,1655.55,1601.37,1822.47,2009.99,1835.0,1871.54,2041.4,2025.1,2017.03,2041.63,1968.4,1786.69
LAR,2000,2030.85,2201.85,2206.7,2178.77,2174.38,2143.1,1983.26,2153.2,2160.02,2212.16,2229.42,2153.79,2138.38,2130.9,2107.54,1918.99,1841.97,2031.28,2020.07,2103.68,2073.73,1966.2,2040.98,2225.14,1961.89,1799.46,1870.04,1822.82,1745.23,1828.27,1873.67,1852.43,1788.39,2226.66,2083.08,2252.86,2069.98,2075.75,2056.47,1882.81,1942.49,1791.07,1659.36,1584.1,1779.93,1683.5,1904.98,1972.4,1949.6,1968.53,1806.74,2018.27,2219.42,2106.54
OAK,2000,2065.08,2253.74,2280.43,2305.13,2207.49,2139.45,2144.09,2169.87,2248.76,2245.94,2425.1,2352.53,2147.99,2107.21,2362.04,2098.97,2205.03,2350.91,2212.81,2226.25,2063.2,1921.86,1933.17,1997.7,2151.42,2048.15,2043.65,2082.83,2082.14,1967.03,1961.98,1807.27,1905.85,2020.91,2119.71,2071.16,2187.28,1882.36,1830.27,1774.6,1666.43,1737.71,1811.41,1822.6,1951.57,1965.42,1813.15,1746.67,1787.94,1909.66,2076.4,1966.31,1861.01,1893.96
DEN,2000,1911.03,1835.92,1865.86,1891.02,1880.75,1878.8,1888.31,2008.48,2034.87,1961.2,2072.3,2307.82,2161.09,2107.39,2070.79,2109.15,1944.61,1981.18,2140.15,2199.46,2247.75,2217.9,2080.13,2145.46,1927.12,2130.03,2029.0,1998.39,1981.56,1990.38,2113.47,2370.57,2416.38,2106.1,2106.25,2008.52,2038.54,2067.86,2068.37,2236.75,2111.78,2001.14,1956.72,1939.37,1790.46,1988.91,2147.07,2235.16,2197.24,2339.42,2148.06,1930.8,1876.57,1954.82
MIN,2000,1900.85,1886.25,2030.79,2268.32,2249.12,2199.5,2082.68,2284.25,2219.58,2186.11,2255.15,2211.18,2051.56,1951.97,2001.07,1893.71,1979.7,1936.26,1769.33,1811.71,1951.58,2107.17,2113.11,2066.7,1968.95,1921.32,2049.19,2066.64,2027.34,2019.24,2030.15,2069.61,2247.29,2169.63,2114.6,1940.35,1959.32,1954.65,1986.97,2033.51,1865.39,1937.65,2041.8,2114.41,1987.82,1821.34,2040.78,1968.55,1933.33,2087.74,1972.37,2191.12,2094.06,2127.44
NYJ,2000,1988.86,2046.59,2293.85,2164.74,1962.49,1945.74,1953.04,1846.14,1963.07,1837.62,1785.56,1739.02,1934.19,2007.54,1889.29,2022.83,2174.08,2015.15,1895.26,2012.55,2051.07,1915.94,1995.42,1859.01,1853.22,1906.27,1819.85,1955.06,1856.62,1738.73,1628.53,1890.37,2174.82,2143.7,2094.99,2091.58,2114.62,2007.8,2095.28,1915.79,2043.22,1883.0,1939.57,2142.66,2240.62,2049.97,1897.97,1971.62,1884.12,2017.84,1904.26,1855.46,1759.56,1905.0
DAL,2000,2075.71,2095.21,2168.2,2155.27,2236.95,2352.54,2242.08,2211.09,2154.03,2251.41,2156.82,2376.74,2325.88,2171.49,2225.46,2161.22,2135.62,2108.1,2064.39,2048.86,1978.15,1967.22,1830.78,1690.27,1865.38,2140.28,2398.9,2417.37,2285.79,2343.83,2199.84,1965.15,1957.77,1942.28,1859.26,1837.97,1819.94,1973.76,1897.55,1980.28,1966.48,2087.53,2074.5,2151.43,2025.09,1959.94,1989.79,1964.58,2138.9,1882.88,2070.77,2096.31,2134.8,2037.76
CLE,2000,2082.02,2066.85,2155.34,2187.34,2050.66,2057.3,2119.08,2120.5,1931.92,1874.86,2036.93,1963.77,1994.16,2065.52,2142.73,1938.1,1964.85,2001.17,1883.23,1961.09,2105.84,2143.32,2068.66,2067.74,1837.31,1849.38,1860.49,1876.73,2059.3,1860.39,1860.39,1860.39,1860.39,1704.85,1682.61,1857.22,1988.53,1891.54,1834.16,1875.61,1821.33,2010.41,1874.74,1874.35,1865.23,1792.94,1836.69,1765.36,1835.54,1776.41,1655.47,1536.95,1846.11,1843.53
PHI,2000,2117.68,2029.73,1821.03,1812.61,1792.59,1972.66,1807.67,1876.46,1951.77,1911.24,1866.93,1861.88,1980.7,2080.32,2190.91,2021.94,1949.65,1829.48,1890.23,1927.74,1923.69,1988.53,2078.1,2097.78,2076.94,2151.45,2227.91,2124.09,1968.85,2092.22,2064.94,1969.33,1769.75,1847.29,2058.22,2200.44,2174.79,2199.52,2213.21,1936.46,2043.84,2047.85,2170.49,2151.18,2061.75,2057.45,1838.94,1990.25,2045.56,1977.27,1964.77,2304.11,2198.89,2056.76
IND,2000,2065.34,2227.5,2333.89,2210.42,2331.99,2249.82,2048.04,1897.2,1767.99,2043.04,2134.9,2112.86,1922.2,1866.43,1901.96,1756.56,1693.22,1843.9,1812.27,1812.74,1768.98,1971.55,2070.21,2044.04,2003.64,1722.3,1926.97,1813.79,1933.08,2114.8,2048.36,1885.52,1753.01,2069.93,2105.67,1977.91,2035.56,2205.81,2235.27,2256.64,2361.01,2264.37,2257.52,2275.99,2122.85,1846.97,2044.83,2115.56,2202.6,2048.53,2004.67,1815.16,2076.43,1958.07
NE,2000,2088.27,1877.78,1789.4,1823.43,1733.84,1868.32,1761.74,1812.71,1911.2,1793.67,2080.17,2090.94,2110.64,2044.54,2055.32,1797.16,1916.97,2004.38,2029.21,2254.64,2166.72,2094.68,2090.48,1923.71,1701.97,1818.64,1696.9,1784.28,2030.67,1951.67,2156.84,2143.28,2066.6,1998.83,1924.56,2273.64,2133.15,2397.25,2466.52,2252.78,2296.8,2422.12,2262.34,2115.06,2235.52,2278.39,2208.55,2219.42,2355.81,2245.77,2407.45,2333.01,2330.05,2154.52
NYG,2000,1760.03,1887.48,1933.58,1923.41,2036.87,1878.42,2025.49,1856.79,1714.07,1786.25,1801.25,1835.87,1826.34,1845.29,1801.91,2020.43,2000.08,1852.17,2030.55,2109.62,2408.8,2129.28,2114.66,2135.05,2345.78,2127.34,2002.11,2125.21,2122.29,1942.52,1914.26,2015.87,2046.66,1955.6,2149.76,1980.85,2053.66,1846.17,1847.68,2003.35,1959.04,2287.03,2182.82,2034.76,2093.07,2310.52,2155.22,2025.76,1912.16,1875.75,2040.22,1846.22,1862.88,1787.67
KC,2000,2177.48,2139.94,2231.4,2400.79,2225.33,2175.94,2113.1,2050.69,1937.6,1895.88,1930.35,1795.12,1782.55,1920.94,2035.96,2062.67,2001.21,1951.79,2049.21,1961.89,2030.78,1923.66,1855.65,1999.9,2082.53,2132.28,2078.11,2180.79,2047.37,2149.14,2072.89,2188.7,2055.39,2054.62,1969.39,1949.16,1993.44,2080.7,2041.16,2120.6,2065.23,1822.24,1691.38,1739.51,1910.79,1976.24,1753.8,1947.34,2045.32,2178.34,2177.06,2045.22,2119.01,2304.68
CHI,2000,1961.35,2022.53,2030.12,1790.17,1902.17,1912.86,1885.7,1771.29,1756.43,1804.61,1936.04,2037.03,1967.2,2012.89,1965.16,1945.25,1875.56,1953.5,2093.6,2368.33,2271.77,2174.73,2141.94,1901.78,2037.24,2057.97,1873.45,1886.34,2038.68,2025.04,2003.97,1903.3,1829.66,1879.56,1902.73,2106.82,1879.47,1922.44,1836.24,2017.45,2161.78,2009.78,2024.73,1950.79,2074.44,2014.35,2048.3,1982.46,1846.76,1875.89,1731.27,1789.04,2076.12,2049.03
NO,2000,2000.0,1880.99,1837.58,1866.14,1746.15,1848.34,1768.87,1844.54,1899.76,1722.58,1771.0,1665.8,1829.52,1946.31,1711.16,1740.93,1834.44,1907.75,1926.12,1842.66,1929.6,2111.48,2106.14,2099.25,2023.11,2027.49,2113.48,1985.52,2039.5,2005.76,1776.5,1839.95,1850.42,1766.07,2003.32,1932.49,1927.1,1984.71,2042.31,1815.94,2009.93,1940.7,1959.1,2246.07,2134.07,2207.95,2072.5,2146.42,1997.81,1957.19,1991.19,2127.09,2207.97,2190.94
CIN,2000,2000.0,2000.0,1829.97,1824.12,1977.58,1818.87,1931.77,2101.48,2030.65,2129.67,2193.64,2163.21,1991.32,1932.41,1974.97,2194.56,2162.27,2025.04,2027.16,1983.48,2061.78,1864.03,2118.87,2029.95,2055.34,1879.84,1787.03,1736.79,1726.67,1875.53,1989.92,1993.05,1837.51,1784.35,1777.68,1862.86,1715.68,1914.05,2021.76,2053.17,2041.98,1993.19,1932.05,1983.69,1887.14,1944.88,2047.68,2076.68,2092.46,2112.17,1979.37,1966.51,1872.67,1729.83
SEA,2000,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1762.85,1833.26,2017.65,2103.9,1877.06,1932.9,1944.72,2144.77,2219.58,2091.67,2183.48,2076.68,2043.19,2001.47,2070.46,1965.26,1798.13,1819.57,1819.04,1977.0,2007.16,2001.57,2010.84,1975.06,1944.6,2005.41,2025.76,2018.56,1971.22,2191.43,2058.82,2044.53,1869.59,1799.91,1914.65,1919.34,2121.89,2340.45,2330.27,2254.47,2141.65,2048.6,2064.53,2131.46
TB,2000,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1723.06,1679.06,1679.67,1889.6,1797.52,1951.9,1988.37,1742.97,1810.29,1694.15,1586.83,1648.05,1749.47,1791.83,1795.89,1742.16,1747.03,1834.45,1848.74,1880.45,1943.29,2058.35,2050.01,2149.05,2115.44,2066.68,2279.8,2039.79,1878.96,2014.79,1878.64,1897.46,1928.23,1849.02,2029.96,1833.25,1895.36,1843.73,1713.11,1762.63,1998.25,1931.78,1855.97,1922.75
JAX,2000,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1811.89,2071.19,2093.95,2126.48,2206.24,2016.1,1949.51,1875.93,1894.61,1999.81,2120.19,2049.53,2208.1,1965.57,1925.97,1965.7,1875.87,1724.22,1723.17,1688.64,1722.38,1715.64,2040.62,1906.58,1890.83
CAR,2000,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1960.85,2173.33,2011.53,1879.29,1945.36,1934.64,1694.57,1857.29,2174.38,2039.99,2162.95,2054.96,1995.23,2071.18,2085.21,1822.76,1901.52,1991.84,2143.45,2079.73,2264.23,2049.4,2103.75,1983.77,1851.93
BAL,2000,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1804.05,1868.28,1889.24,1965.49,2309.37,2200.01,2004.75,2021.18,2044.29,1960.68,2155.98,1945.58,2200.15,2162.44,2212.1,2202.79,2326.24,2120.98,2128.06,1956.14,1956.78,1979.51,2052.73,2206.17
HOU,2000,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1837.67,1829.74,1922.31,1746.39,1856.49,1994.96,2034.31,2091.56,1949.09,2035.01,2145.03,1797.9,1941.79,1982.53,2041.36,1829.06,1988.07,2098.67
